title,original_air_date,written_by,season,episode,us_viewers_in_millions,imdb_rating
"Homie the Clown","1995-02-12","John Swartzwelder","6","15","17.5","8.60"
"Bart vs. Australia","1995-02-19","Bill Oakley & Josh Weinstein","6","16","15.1","8.50"
"Homer vs. Patty and Selma","1995-02-26","Brent Forrester","6","17","18.9","7.80"
"A Star Is Burns","1995-03-05","Ken Keeler","6","18","14.4","8.50"
"Lisa's Wedding","1995-03-19","Greg Daniels","6","19","14.9","8.30"
"Two Dozen and One Greyhounds","1995-04-09","Mike Scully","6","20","11.6","8.10"
"The PTA Disbands","1995-04-16","Jennifer Crittenden","6","21","11.8","8.00"
"'Round Springfield","1995-04-30","Story by : Al Jean & Mike ReissTeleplay by : Joshua Sternin & Jennifer Ventimilia","6","22","12.6","8.10"
"The Springfield Connection","1995-05-07","Jonathan Collier","6","23","12.7","8.20"
"Lemon of Troy","1995-05-14","Brent Forrester","6","24","13.1","8.70"
"Who Shot Mr. Burns? - Part I","1995-05-21","Bill Oakley & Josh Weinstein","6","25","15.0","9.20"
"Who Shot Mr. Burns? - Part II","1995-09-17","Bill Oakley & Josh Weinstein","7","1","22.6","9.00"
"Radioactive Man","1995-09-24","John Swartzwelder","7","2","15.7","8.30"
"Home Sweet Homediddly-Dum-Doodily","1995-10-01","Jon Vitti","7","3","14.5","8.40"
"Bart Sells His Soul","1995-10-08","Greg Daniels","7","4","14.8","8.80"
"Lisa the Vegetarian","1995-10-15","David X. Cohen","7","5","14.6","8.50"
"Treehouse of Horror VI","1995-10-29","John Swartzwelder","7","6","19.7","8.60"
"King-Size Homer","1995-11-05","Dan Greaney","7","7","17.0","9.00"
"Mother Simpson","1995-11-19","Richard Appel","7","8","15.3","8.70"
"Sideshow Bob's Last Gleaming","1995-11-26","Spike Feresten","7","9","14.2","8.00"
"The Simpsons 138th Episode Spectacular","1995-12-03","Jon Vitti","7","10","16.4","7.40"
"Marge Be Not Proud","1995-12-17","Mike Scully","7","11","16.7","8.50"
"Team Homer","1996-01-07","Mike Scully","7","12","16.7","8.30"
"Two Bad Neighbors","1996-01-14","Ken Keeler","7","13","16.5","8.50"
"Scenes from the Class Struggle in Springfield","1996-02-04","Jennifer Crittenden","7","14","14.4","7.70"
"Bart the Fink","1996-02-11","Story by : Bob KushellTeleplay by : John Swartzwelder","7","15","15.0","7.60"
"Lisa the Iconoclast","1996-02-18","Jonathan Collier","7","16","13.4","8.10"
"Homer the Smithers","1996-02-25","John Swartzwelder","7","17","14.1","8.80"
"The Day the Violence Died","1996-03-17","John Swartzwelder","7","18","14.4","8.00"
"A Fish Called Selma","1996-03-24","Jack Barth","7","19","12.9","8.20"
"Bart on the Road","1996-03-31","Richard Appel","7","20","11.8","8.60"
"22 Short Films About Springfield","1996-04-14","Richard Appel, David X. Cohen, Jonathan Collier, Jennifer Crittenden, Greg Daniels, Brent Forrester, Rachel Pulido, Steve Tompkins, Bill Oakley, Josh Weinstein & Matt Groening","7","21","10.5","8.90"
"Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish'","1996-04-28","Jonathan Collier","7","22","13.0","8.50"
"Much Apu About Nothing","1996-05-05","David X. Cohen","7","23","11.3","8.10"
"Homerpalooza","1996-05-19","Brent Forrester","7","24","12.9","7.90"
"Summer of 4 Ft. 2","1996-05-19","Dan Greaney","7","25","14.7","8.40"
"Treehouse of Horror VII","1996-10-27","Ken Keeler","8","1","18.3","8.40"
"You Only Move Twice","1996-11-03","John Swartzwelder","8","2","13.9","9.20"
"The Homer They Fall","1996-11-10","Jonathan Collier","8","3","17.0","8.10"
"Burns, Baby Burns","1996-11-17","Ian Maxtone-Graham","8","4","12.6","7.60"
"Bart After Dark","1996-11-24","Richard Appel","8","5","14.1","8.30"
"A Milhouse Divided","1996-12-01","Steve Tompkins","8","6","12.8","8.00"
"Lisa's Date with Density","1996-12-15","Mike Scully","8","7","12.2","7.80"
"Hurricane Neddy","1996-12-29","Steve Young","8","8","14.4","8.70"
"El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)","1997-01-05","Ken Keeler","8","9","14.85","8.60"
"The Springfield Files","1997-01-12","Reid Harrison","8","10","20.41","9.00"
"The Twisted World of Marge Simpson","1997-01-19","Jennifer Crittenden","8","11","13.98","7.70"
"Mountain of Madness","1997-02-02","John Swartzwelder","8","12","17.49","8.50"
"Simpsoncalifragilisticexpiala(Annoyed Grunt)cious","1997-02-07","Al Jean & Mike Reiss","8","13","9.10","7.60"
"The Itchy & Scratchy & Poochie Show","1997-02-09","David X. Cohen","8","14","15.67","7.90"
"Homer's Phobia","1997-02-16","Ron Hauge","8","15","15.26","8.80"
"Brother from Another Series","1997-02-23","Ken Keeler","8","16","15.07","8.20"
"My Sister, My Sitter","1997-03-02","Dan Greaney","8","17","15.10","7.90"
"Homer vs. the Eighteenth Amendment","1997-03-16","John Swartzwelder","8","18","14.60","8.80"
"Grade School Confidential","1997-04-06","Rachel Pulido","8","19","13.27","8.20"
"The Canine Mutiny","1997-04-13","Ron Hauge","8","20","13.25","7.60"
"The Old Man and the Lisa","1997-04-20","John Swartzwelder","8","21","13.97","7.90"
"In Marge We Trust","1997-04-27","Donick Cary","8","22","16.93","8.10"
"Homer's Enemy","1997-05-04","John Swartzwelder","8","23","11.80","9.30"
"The Simpsons Spin-Off Showcase","1997-05-11","Story by : Ken KeelerTeleplay by : David X. Cohen","8","24","11.57","7.10"
"The Secret War of Lisa Simpson","1997-05-18","Richard Appel","8","25","12.69","7.80"
"The City of New York vs. Homer Simpson","1997-09-21","Ian Maxtone-Graham","9","1","17.5","9.00"
"The Principal and the Pauper","1997-09-28","Ken Keeler","9","2","14.9","6.90"
"Lisa's Sax","1997-10-19","Al Jean","9","3","12.9","8.10"
"Treehouse of Horror VIII","1997-10-26","Mike Scully","9","4","17.9","8.20"
"The Cartridge Family","1997-11-02","John Swartzwelder","9","5","17.3","8.20"
"Bart Star","1997-11-09","Donick Cary","9","6","17.6","7.70"
"The Two Mrs. Nahasapeemapetilons","1997-11-16","Richard Appel","9","7","19.8","7.70"
"Lisa the Skeptic","1997-11-23","David X. Cohen","9","8","16.0","8.10"
"Realty Bites","1997-12-07","Dan Greaney","9","9","17.7","7.60"
"Miracle on Evergreen Terrace","1997-12-21","Ron Hauge","9","10","16.2","7.60"
"All Singing, All Dancing","1998-01-04","Steve O'Donnell","9","11","15.9","5.00"
"Bart Carny","1998-01-11","John Swartzwelder","9","12","19.2","7.60"
"The Joy of Sect","1998-02-08","Steve O'Donnell","9","13","16.2","8.30"
"Das Bus","1998-02-15","David X. Cohen","9","14","16.6","8.20"
"The Last Temptation of Krust","1998-02-22","Donick Cary","9","15","16.5","7.40"
"Dumbbell Indemnity","1998-03-01","Ron Hauge","9","16","17.4","7.60"
"Lisa the Simpson","1998-03-08","Ned Goldreyer","9","17","17.8","8.00"
"This Little Wiggy","1998-03-22","Dan Greaney","9","18","15.0","7.80"
"Simpson Tide","1998-03-29","Joshua Sternin & Jennifer Ventimilia","9","19","14.8","8.10"
"The Trouble with Trillions","1998-04-05","Ian Maxtone-Graham","9","20","11.4","7.80"
"Girly Edition","1998-04-19","Larry Doyle","9","21","13.5","7.80"
"Trash of the Titans","1998-04-26","Ian Maxtone-Graham","9","22","17.4","8.40"
"King of the Hill","1998-05-03","John Swartzwelder","9","23","14.8","8.20"
"Lost Our Lisa","1998-05-10","Brian Scully","9","24","12.9","7.70"
"Natural Born Kissers","1998-05-17","Matt Selman","9","25","14.1","8.00"
